epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3659.44,0.70649,0.36981,0.95376,0.89654,0.93871,0.92829,0.65145,0.63696,0.26335,0.94945,0.005842,0.005842,0.005842
44,3743.73,0.70023,0.36643,0.95236,0.90687,0.92812,0.9293,0.65473,0.64166,0.26479,0.95361,0.005743,0.005743,0.005743
45,3828.6,0.70238,0.3676,0.95477,0.88713,0.94235,0.929,0.67018,0.63897,0.26679,0.94848,0.005644,0.005644,0.005644
46,3912.98,0.70179,0.36469,0.9538,0.90175,0.94753,0.9349,0.66872,0.63548,0.25734,0.94665,0.005545,0.005545,0.005545
47,3997.36,0.69572,0.35993,0.9524,0.90464,0.93784,0.93335,0.66222,0.63799,0.26024,0.95222,0.005446,0.005446,0.005446
48,4081.38,0.69724,0.36107,0.953,0.89157,0.94559,0.92605,0.64462,0.64067,0.26168,0.95204,0.005347,0.005347,0.005347
49,4165.56,0.69736,0.36093,0.9501,0.88532,0.91498,0.91788,0.66128,0.63486,0.26479,0.94871,0.005248,0.005248,0.005248
50,4249.49,0.69607,0.35987,0.95494,0.86713,0.96588,0.94033,0.67132,0.62956,0.26051,0.94633,0.005149,0.005149,0.005149
51,4334.14,0.69743,0.36067,0.9526,0.90361,0.90345,0.9182,0.64949,0.63445,0.25882,0.94926,0.00505,0.00505,0.00505
52,4418.38,0.68789,0.35752,0.94622,0.88602,0.92326,0.91624,0.64892,0.63519,0.25893,0.95101,0.004951,0.004951,0.004951
53,4502.95,0.6795,0.34717,0.9438,0.90162,0.92804,0.92186,0.64515,0.63455,0.25939,0.94831,0.004852,0.004852,0.004852
54,4587.39,0.6858,0.35341,0.94721,0.89699,0.92676,0.92121,0.62915,0.63263,0.25573,0.95076,0.004753,0.004753,0.004753
55,4671.24,0.6731,0.34388,0.9408,0.91454,0.92504,0.93189,0.65607,0.62701,0.25347,0.94813,0.004654,0.004654,0.004654
56,4756.11,0.68023,0.34947,0.94764,0.87763,0.95403,0.92502,0.64397,0.6337,0.257,0.95351,0.004555,0.004555,0.004555
57,4840.34,0.67675,0.34336,0.94362,0.87455,0.94758,0.92782,0.64833,0.63143,0.25595,0.94968,0.004456,0.004456,0.004456
58,4924.22,0.67701,0.34512,0.94521,0.86548,0.95006,0.90963,0.63155,0.62775,0.25496,0.94904,0.004357,0.004357,0.004357
59,5008.63,0.67478,0.34214,0.9425,0.89949,0.92904,0.9339,0.65175,0.63316,0.25764,0.95109,0.004258,0.004258,0.004258
60,5092.73,0.67259,0.34179,0.9439,0.91305,0.89773,0.93014,0.64932,0.63017,0.25942,0.94898,0.004159,0.004159,0.004159
61,5177.38,0.66998,0.34235,0.94199,0.8735,0.94814,0.93102,0.6507,0.62712,0.25733,0.94854,0.00406,0.00406,0.00406
62,5261.29,0.67367,0.34578,0.94368,0.87585,0.95623,0.93224,0.66091,0.62681,0.25855,0.94554,0.003961,0.003961,0.003961
63,5345.16,0.66682,0.33822,0.93768,0.88368,0.95161,0.93848,0.65735,0.63054,0.25762,0.94958,0.003862,0.003862,0.003862
64,5429.55,0.66165,0.33534,0.93715,0.89984,0.92508,0.93194,0.65067,0.63035,0.25377,0.95037,0.003763,0.003763,0.003763
65,5516.05,0.66107,0.33535,0.93379,0.90136,0.9253,0.93503,0.63857,0.63442,0.25363,0.95379,0.003664,0.003664,0.003664
66,5600.51,0.66137,0.33458,0.93628,0.89416,0.93686,0.93487,0.64244,0.6328,0.25326,0.9549,0.003565,0.003565,0.003565
67,5686.04,0.65876,0.33493,0.93677,0.90903,0.92952,0.93744,0.65027,0.63164,0.25493,0.95224,0.003466,0.003466,0.003466
